tên,ô,view,từ,câu,từ/câu,dài,wpm,chữ nguy hiểm,nguy hiểm /1000 từ,nguy hiểm lần đầu %,khúc có nguy hiểm /10,you,you /1000 từ,we/our,tôi,số liệu,số /1000 từ,tên riêng,từ hiện đại,rào đón,câu dẫn có nhãn,câu hỏi,liên từ đầu câu,câu cụt ≤4 từ,dấu !,nguồn
Why Ancient People With ADHD Were Better Survivors,SimplyAStickman,"238,767",1533,138,11.1,8:52,172,6,3.9,7,5,19,12.4,8,0,26,17.0,11,0,11,8,1,13,23,0,2_KHO_BANGHI/SimplyAStickman/20260510_Why_Ancient_People_With_ADHD_Were_Better_Survivors.txt
"If Ancient Humans Faced Lions, Why Do Emails Feel So Scary?",SimplyAStickman,172,1518,142,10.7,9:05,165,10,6.6,2,6,51,33.6,12,0,26,17.1,11,3,17,8,2,18,27,0,2_KHO_BANGHI/SimplyAStickman/20260511_If_Ancient_Humans_Faced_Lions_Why_Do_Emails_Feel_So_Scary_.txt
Why Your Brain Keeps Breaking Focus?,SimplyAStickman,276,1348,122,11.0,8:03,166,12,8.9,25,6,66,49.0,6,0,32,23.7,11,14,13,3,4,14,16,0,2_KHO_BANGHI/SimplyAStickman/20260514_Why_Your_Brain_Keeps_Breaking_Focus_.txt
Why Social Media Exhausts You Even When You're Just Scrolling,SimplyAStickman,133,1197,99,12.1,6:50,173,8,6.7,33,5,56,46.8,2,0,28,23.4,14,10,6,8,0,10,23,0,2_KHO_BANGHI/SimplyAStickman/20260515_Why_Social_Media_Exhausts_You_Even_When_You_re_Just_Scrollin.txt
Why Your Brain Hates Missing Out?,SimplyAStickman,394,1686,179,9.4,9:25,178,5,3.0,3,4,80,47.4,2,0,34,20.2,10,10,14,5,1,16,33,0,2_KHO_BANGHI/SimplyAStickman/20260516_Why_Your_Brain_Hates_Missing_Out_.txt
Why Too Many Choices Exhaust You?,SimplyAStickman,426,1539,140,11.0,9:03,168,2,1.3,58,2,75,48.7,15,0,46,29.9,11,6,14,6,0,11,31,0,2_KHO_BANGHI/SimplyAStickman/20260517_Why_Too_Many_Choices_Exhaust_You_.txt
Why Ancient Humans Don't Burn Out But You Do?,SimplyAStickman,"2,918",1623,136,11.9,9:50,163,5,3.1,2,3,26,16.0,5,1,37,22.8,14,6,9,4,5,10,16,0,2_KHO_BANGHI/SimplyAStickman/20260518_Why_Ancient_Humans_Don_t_Burn_Out_But_You_Do_.txt
How Long Would It Take To Count To One Billion Out Loud?,SimplyAStickman,134,1463,115,12.7,8:44,159,0,0.0,100,0,57,39.0,6,3,120,82.0,12,2,17,4,2,5,19,0,2_KHO_BANGHI/SimplyAStickman/20260520_How_Long_Would_It_Take_To_Count_To_One_Billion_Out_Loud_.txt
What If You've Switched Off All The World's Electricity For One Second,SimplyAStickman,131,1707,155,11.0,9:48,170,0,0.0,100,0,19,11.1,10,8,67,39.3,8,22,14,3,4,16,35,0,2_KHO_BANGHI/SimplyAStickman/20260522_What_If_You_ve_Switched_Off_All_The_World_s_Electricity_For_.txt
What If Gravity Got 10% Lighter?,SimplyAStickman,493,1667,153,10.9,10:14,159,4,2.4,10,3,50,30.0,10,3,58,34.8,14,8,15,5,2,8,22,0,2_KHO_BANGHI/SimplyAStickman/20260523_What_If_Gravity_Got_10_Lighter_.txt
